 CPU usage           ,CPU temperature     ,GPU1 usage          ,GPU1 temperature    ,GPU2 usage          ,GPU2 temperature    ,RAM usage           
 0                   ,%                   ,0.000               ,100.000             ,10                  ,                    
 1                   ,°C                  ,0.000               ,100.000             ,10                  ,                    
 2                   ,%                   ,0.000               ,100.000             ,10                  ,                    
 3                   ,°C                  ,0.000               ,100.000             ,10                  ,                    
 4                   ,%                   ,0.000               ,100.000             ,10                  ,                    
 5                   ,°C                  ,0.000               ,100.000             ,10                  ,                    
 6                   ,MB                  ,0.000               ,16384.000           ,10                  ,                    
 5.664               ,46.000              ,2.000               ,41.000              ,1.000               ,36.000              ,7041.000            
 4.102               ,44.000              ,1.000               ,40.000              ,0.000               ,36.000              ,7040.000            
 3.516               ,41.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7039.000            
 6.055               ,42.000              ,5.000               ,40.000              ,0.000               ,36.000              ,7038.000            
 4.688               ,42.000              ,3.000               ,41.000              ,0.000               ,36.000              ,7037.000            
 4.883               ,40.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7037.000            
 8.203               ,41.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7037.000            
 5.078               ,41.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7036.000            
 2.930               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7035.000            
 2.930               ,39.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7035.000            
 5.273               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7034.000            
 2.344               ,38.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7032.000            
 3.711               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7031.000            
 3.125               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7031.000            
 4.883               ,40.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7031.000            
 5.469               ,39.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7031.000            
 3.516               ,38.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7031.000            
 3.516               ,40.000              ,2.000               ,41.000              ,1.000               ,36.000              ,7031.000            
 5.273               ,39.000              ,0.000               ,41.000              ,1.000               ,36.000              ,7031.000            
 3.906               ,40.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7030.000            
 7.422               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7030.000            
 9.961               ,40.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7008.000            
 5.273               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7007.000            
 4.883               ,39.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7006.000            
 3.320               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7006.000            
 2.344               ,38.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7006.000            
 3.516               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7005.000            
